timestamp,emoji,issue,message,name,location
10/20/2016 18:22:54,ğŸ˜,social issues,Equal pay,Cordelia,McIntosh
10/20/2016 18:23:32,ğŸ˜³,energy and the environment,Climate change for real,Mike,Daley
10/20/2016 18:24:12,ğŸ‡ºğŸ‡¸,immigration,The refugee crisis ,Dominic,Morelli
10/20/2016 18:25:22,ğŸ‡ºğŸ‡¸,defense and national security,Proving America is the greatest nation in the world ,Marilyn,DuBois
10/20/2016 18:27:53,ğŸ˜,the economy,adding more new jobs,josh,"Noble, Oklahoma"
10/20/2016 18:28:49,ğŸ˜³,education,Legalize marijuana,Rachel,Norman
10/20/2016 18:30:46,ğŸ¤”,health care,health insurance for all americans ,Jory,Boston
10/20/2016 18:43:01,ğŸ¤”,energy and the environment,Tomato Sauce,Captain Frog,Boston
10/20/2016 18:43:29,ğŸ˜³,foreign policy,Sexy Memes,Trump4Prez,Alabama
10/20/2016 18:44:17,ğŸ‡ºğŸ‡¸,education,USA! USA! USA!,Patriot69,Nevada
10/20/2016 18:44:54,ğŸ˜¡,defense and national security,ISIS Eradication,Not Binladen,Afghanistan
10/20/2016 18:45:34,ğŸ˜€,health care,Clean sheets for hospitals in the country,Janet McGnarls,Seattle
10/20/2016 19:03:24,ğŸ˜,the economy,more better healthcare,,
10/20/2016 20:49:32,ğŸ˜,Cybersecurity,Balanced budget.,Scorps,Bean Town
10/21/2016 8:45:10,ğŸ˜,social issues,Successfully appointing left-of-center supreme court justices.,Tyler Kellen,"Arlington, VT"
10/21/2016 9:16:25,ğŸ˜,health care,Universal health care,SamplePersonY,USA
10/21/2016 9:41:22,ğŸ˜€,Cybersecurity,raise interest rates,Samantha Jones,"Boston, MA "
10/21/2016 9:43:26,ğŸ¤”,the economy,replace Columbus Day with Indigenous Peoples' Day,Kristin Nowakowski,"Nashville, TN"
10/21/2016 9:45:40,ğŸ˜Ÿ,Cybersecurity,Making the internet free and open globally.,Foo Bar,Boston
10/21/2016 9:49:36,ğŸ˜,education,"High score on Ms. Pacman at Gio's Roast Beef & PIzzeria in Weymouth, MA",Mike,Boston
10/21/2016 9:51:19,ğŸ˜³,foreign policy,Defending and strengthening parental policies and women's rights,Yolanda,"Queens, New York"
10/21/2016 10:11:04,ğŸ˜,energy and the environment,Equal opportunity for women!,Irene,Boston MA
10/21/2016 10:11:34,ğŸ˜¡,Cybersecurity,Close our borders!,Joe,"Someplace, Texas"
10/21/2016 10:12:13,ğŸ˜,trade,Lower the national debt. It's way toooooooo hiiiiiiiiiighhhhhhh!,Nicole,"Houston, Tx"
10/21/2016 10:12:47,ğŸ‡ºğŸ‡¸,crime,The inner cities. Shut. Them. Down. Get more police in there. ,Frank,Universe
10/21/2016 10:14:10,ğŸ˜,energy and the environment,It's time to make clean energy the defacto standard. We are burning through our atmosphere and killing our planet. ,Shirley,"Temple, Florida"
10/21/2016 10:14:36,ğŸ˜,social issues,HOW COULD HE WIN?! I don't understand. Hellloooooooo Canada.,Sad.,America.
10/21/2016 10:17:55,ğŸ¤”,social issues,police and military reform,jenn,new jersey
10/21/2016 10:24:12,ğŸ˜,energy and the environment,slowing down climate change,susan,"portland, oregon"
10/21/2016 10:24:37,ğŸ˜³,health care,universal health care for all,susan,"portland, oregon"
